"store_id","brandid","brandName","categoryid","categoryName","isDeleted","plazaName","plazaUnitid","storeName","brand_name","category_name","is_deleted","plaza_name","plaza_unitid","store_name"
"BJTZ0138","6261","ENZO","104","生活精品","0","北京通州","1035","ENZO",,,"0",,,
"BJTZ0345","6261","ENZO","104","生活精品","0","北京通州","1032","ENZO",,,"0",,,
"BJTZ000410","6269","CRD","104","生活精品","0","北京通州","1050","CRD",,,"0",,,
"BJTZ0051","6298","启路文具","104","生活精品","0","北京通州","3038A","启路文具",,,"0",,,
"BJTZ0279","6301","SWAROVSKI","104","生活精品","0","北京通州","1039","SWAROVSKI",,,"0",,,
"BJTZ0342","6306","PANDORA","104","生活精品","0","北京通州","10,351,036","PANDORA",,,"0",,,
"BJTZ0004","6327","万达百货","1","大型零售","0","北京通州","百货楼1FA,百货楼2FA,百货楼3FA,百货楼4FA,百货楼5FA","万达百货",,,"0",,,
"BJTZ0076","6338","林清轩","104","生活精品","0","北京通州","2032B","林清轩",,,"0",,,
"BJTZ0080","6342","AFU","104","生活精品","0","北京通州","2038","AFU",,,"0",,,
"BJTZ0335","6423","Hello kitty","1000285","儿童业态","0","北京通州","2025B","Hello kitty",,,"0",,,
"BJTZ0140","6452","Clarks","104","生活精品","0","北京通州","1012B","Clarks",,,"0",,,
"BJTZ0163","6507","MISS SIXTY","103","服装服饰","0","北京通州","1038","Miss Sixty",,,"0",,,
"BJTZ0167","6509","Moussy","104","生活精品","0","北京通州","1052A","Moussy",,,"0",,,
"BJTZ0151","6549","PSALTER","103","服装服饰","0","北京通州","1021","PSALTER",,,"0",,,
"BJTZ0286","6678","G-STAR","104","生活精品","0","北京通州","1012A,1012B","G-STAR",,,"0",,,
"BJTZ0172","6731","FILA","104","生活精品","0","北京通州","1023","FILA",,,"0",,,
"BJTZ0280","6731","FILA","104","生活精品","0","北京通州","1003B","FILA",,,"0",,,
"BJTZ0086","6767","MLB","104","生活精品","0","北京通州","3020","MLB",,,"0",,,
"BJTZ000425","6767","MLB","104","生活精品","0","北京通州","3025","MLB",,,"0",,,
"BJTZ0242","6818","海澜之家","103","服装服饰","0","北京通州","30,113,012","海澜之家",,,"0",,,
"BJTZ0340","6822","Armani Exchange","103","服装服饰","0","北京通州","1010B,1010A","Armani Exchange",,,"0",,,
"BJTZ0262","6827","Gant","103","服装服饰","0","北京通州","1008","Gant",,,"0",,,
"BJTZ0174","6830","GUESS","103","服装服饰","0","北京通州","1009","GUESS",,,"0",,,
"BJTZ0141","6833","Tommy Hilfiger","103","服装服饰","0","北京通州","1007B","Tommy Hilfiger",,,"0",,,
"BJTZ0196","6843","Evisu","104","生活精品","0","北京通州","1011","Evisu",,,"0",,,
"BJTZ0162","6863","DAZZLE","103","服装服饰","0","北京通州","1020","DAZZLE",,,"0",,,
"BJTZ0120","6880","FOREVER NEW","103","服装服饰","0","北京通州","2009","FOREVER NEW",,,"0",,,
"BJTZ0125","6906","播","103","服装服饰","0","北京通州","2015","播",,,"0",,,
"BJTZ0074","6967","crz","103","服装服饰","0","北京通州","3025","crz",,,"0",,,
"BJTZ0326","6967","crz","103","服装服饰","0","北京通州","2017A","CRZ",,,"0",,,
"BJTZ0054","7037","CC&DD","103","服装服饰","0","北京通州","3050","CC&DD",,,"0",,,
"BJTZ0081","7068","Naivee","103","服装服饰","0","北京通州","2019B","Naivee",,,"0",,,
"BJTZ0303","7068","Naivee","103","服装服饰","0","北京通州","2050","Naivee",,,"0",,,
"BJTZ0132","7177","Hush puppies","103","服装服饰","0","北京通州","1022","Hush puppies",,,"0",,,
"BJTZ0157","7187","Hazzys","103","服装服饰","0","北京通州","1010B","Hazzys",,,"0",,,
"BJTZ0338","7187","Hazzys","103","服装服饰","0","北京通州","1015A","Hazzys",,,"0",,,
"BJTZ0197","7257","争鲜寿司","102","餐饮美食","0","北京通州","B1003","争鲜寿司",,,"0",,,
"BJTZ000372","7257","争鲜寿司","102","餐饮美食","0","北京通州","超B1003","争鲜寿司",,,"0",,,
"BJTZ0016","7286","正一味","102","餐饮美食","0","北京通州","B1001","正一味",,,"0",,,
"BJTZ0200","7331","胡椒厨房","102","餐饮美食","0","北京通州","4025A","胡椒厨房",,,"0",,,
"BJTZ0133","7350","哈根达斯","102","餐饮美食","0","北京通州","1001","哈根达斯",,,"0",,,
"BJTZ0018","7351","cold stone","102","餐饮美食","0","北京通州","4007","cold stone",,,"0",,,
"BJTZ0009","7356","面包新语","102","餐饮美食","0","北京通州","B1007,B1006","面包新语",,,"0",,,
"BJTZ0008","7363","许留山","102","餐饮美食","0","北京通州","4022","许留山",,,"0",,,
"BJTZ0202","7468","金鼎轩","102","餐饮美食","0","北京通州","3037","金鼎轩",,,"0",,,
"BJTZ0203","7597","外婆家","102","餐饮美食","0","北京通州","4027","外婆家",,,"0",,,
"BJTZ0011","7612","望湘园","102","餐饮美食","0","北京通州","4002","望湘园",,,"0",,,
"BJTZ0012","7660","避风塘","102","餐饮美食","0","北京通州","4013","避风塘",,,"0",,,
"BJTZ0224","7684","西贝","102","餐饮美食","0","北京通州","B1020A","西贝",,,"0",,,
"BJTZ0019","7684","西贝","102","餐饮美食","0","北京通州","4016","西贝",,,"0",,,
"BJTZ0182","7729","周黑鸭","102","餐饮美食","0","北京通州","B1017","周黑鸭",,,"0",,,
"BJTZ000382","7729","周黑鸭","102","餐饮美食","0","北京通州","超B1017","周黑鸭",,,"0",,,
"BJTZ0010","7738","蓉李记","102","餐饮美食","0","北京通州","4009B","蓉李记",,,"0",,,
"BJTZ0015","7838","西堤","102","餐饮美食","0","北京通州","4015","西堤",,,"0",,,
"BJTZ0266","7897","美联英语","1000290","体验业态","0","北京通州","3033","美联英语",,,"0",,,
"BJTZ0002","7905","大歌星KTV","24","主题体验","0","北京通州","娱乐楼4FA","大歌星KTV",,,"0",,,
"BJTZ0211","7910","ZARA","1","大型零售","0","北京通州","次主力店1","ZARA",,,"0",,,
"BJTZ000419","7940","味千拉面","102","餐饮美食","0","北京通州","4002B","味千拉面",,,"0",,,
"BJTZ0001","9655","永辉","1","大型零售","0","北京通州","超市楼B1A","永辉",,,"0",,,
"BJTZ0241","10013","Rebecca","104","生活精品","0","北京通州","2012","Rebecca",,,"0",,,
"BJTZ0007","10094","拿渡","102","餐饮美食","0","北京通州","B1005","拿渡",,,"0",,,
"BJTZ0070","10712","爱茜茜里","102","餐饮美食","0","北京通州","3007","爱茜茜里",,,"0",,,
"BJTZ0115","10751","HOZ","104","生活精品","0","北京通州","3030A","HOZ",,,"0",,,
"BJTZ0092","10817","zippo","104","生活精品","0","北京通州","3013","zippo",,,"0",,,
"BJTZ000418","11134","宝岛眼镜","104","生活精品","0","北京通州","2035","宝岛眼镜",,,"0",,,
"BJTZ0082","1011423","MQD","1000285","儿童业态","0","北京通州","2023","MQD",,,"0",,,
"BJTZ0093","1011524","Mini Peace","1000285","儿童业态","0","北京通州","2022A","Mini Peace",,,"0",,,
"BJTZ0301","1011565","DQ","102","餐饮美食","0","北京通州","4007","DQ",,,"0",,,
"BJTZ0014","1011568","巴贝拉","102","餐饮美食","0","北京通州","4008","巴贝拉",,,"0",,,
"BJTZ0077","1011571","阿吉豆","104","生活精品","0","北京通州","3030B","阿吉豆",,,"0",,,
"BJTZ0107","1011578","必胜客","102","餐饮美食","0","北京通州","2055B,1002","必胜客",,,"0",,,
"BJTZ0189","1011582","BLOVES","104","生活精品","0","北京通州","1055","BLOVES",,,"0",,,
