NodeID,StoreName,DEFAULTSTARTDATE,DEFAULTEXPIRYDATE,idx,PlazaUnitID,new_category
3S-52,Find智慧钢琴学院,2019-05-01 00:00:00,2022-04-30 00:00:00,148,3063B,体验业态
3S-53,尚品宅配,2014-11-29 00:00:00,2021-08-28 00:00:00,147,3066,家居家用
3S-54,佩霖国际自然养生会所,2014-11-29 00:00:00,2020-02-29 00:00:00,146,3067,体验业态
4S-3,金掌勺,2016-12-01 00:00:00,2021-11-30 00:00:00,69,4001,餐饮美食
4S-4,望湘园,2014-11-29 00:00:00,2019-10-28 00:00:00,141,4002,餐饮美食
4S-5,那时小馆,2019-08-15 00:00:00,2027-08-14 00:00:00,124,4003A,餐饮美食
4S-6,MQ,2014-11-29 00:00:00,2019-11-28 00:00:00,72,4003B,女装
4S-7,我家,2014-11-29 00:00:00,2022-06-28 00:00:00,133,4005,餐饮美食
4S-8,辣一天,2017-03-01 00:00:00,2020-02-29 00:00:00,125,4006A,餐饮美食
4S-9,疯卷春饼,2018-03-01 00:00:00,2022-02-28 00:00:00,60,4006B,休闲快餐与饮品
4S-10,DQ,2017-08-29 00:00:00,2020-08-28 00:00:00,128,4007,休闲快餐与饮品
4S-11,巴贝拉,2014-11-29 00:00:00,2023-07-31 00:00:00,127,4008,休闲快餐与饮品
4S-13,蓉李记,2014-11-29 00:00:00,2021-06-28 00:00:00,91,4009B,餐饮美食
4S-14,汉拿山,2014-11-29 00:00:00,2022-06-28 00:00:00,123,4010A-4010B,餐饮美食
4S-15,天万,2014-11-29 00:00:00,2026-06-30 00:00:00,121,4011-4012,餐饮美食
4S-16,金の锅,2019-06-29 00:00:00,2024-06-28 00:00:00,157,4013,餐饮美食
4S-17,胡同串子,2019-08-01 00:00:00,2024-07-31 00:00:00,168,4015A,餐饮美食
4S-18,北李妈妈菜,2019-06-29 00:00:00,2024-06-28 00:00:00,169,4016,餐饮美食
4S-19,云海肴,2014-11-29 00:00:00,2022-06-28 00:00:00,105,4017,餐饮美食
4S-20,金吉鸟,2015-10-15 00:00:00,2025-10-14 00:00:00,163,娱乐楼4FA,体验业态
4S-21,阿三生煎包,2014-11-29 00:00:00,2021-06-28 00:00:00,131,4018,餐饮美食
4S-22,穿巷,2016-12-01 00:00:00,2020-11-28 00:00:00,155,4019B-4019C,餐饮美食
4S-23,好面坊,2017-07-01 00:00:00,2022-06-30 00:00:00,144,4019A,餐饮美食
4S-24,大娘水饺,2019-01-01 00:00:00,2023-12-31 00:00:00,112,4020B,休闲快餐与饮品
4S-25,蜀江烤鱼,2014-11-29 00:00:00,2026-06-30 00:00:00,154,4021A,餐饮美食
4S-26,许留山,2014-11-29 00:00:00,2020-08-28 00:00:00,140,4022,休闲快餐与饮品
4S-27,留下,2019-06-29 00:00:00,2024-06-28 00:00:00,167,4025A,餐饮美食
4S-28,一品焖锅,2018-10-01 00:00:00,2023-09-30 00:00:00,149,4025B,餐饮美食
4S-29,呱呱蛙,2019-06-29 00:00:00,2027-06-28 00:00:00,170,4026A,餐饮美食
4S-30,旺顺阁,2017-12-01 00:00:00,2024-06-28 00:00:00,161,4026B,餐饮美食
4S-31,外婆家,2014-11-29 00:00:00,2022-11-28 00:00:00,88,4027,餐饮美食
